Belmullet,Valentia Observatory,Dublin airport,Malin head,Mullingar,Shannon airport,Year,Month,Total
163.4,261.1,106.3,100.9,132.5,130.9,1961,Jan,149.1833333333333
86.5,124.2,50.8,113.3,75.8,97.1,1961,Feb,91.28333333333335
37.9,19.1,4.0,60.4,13.3,18.0,1961,Mar,25.450000000000003
91.9,147.8,90.4,124.5,109.8,95.9,1961,Apr,110.05
56.7,44.3,29.6,47.2,55.3,32.6,1961,May,44.28333333333334
64.5,59.4,42.4,49.9,56.9,42.2,1961,Jun,52.550000000000004
117.2,93.5,52.6,73.3,82.5,81.1,1961,July,83.36666666666667
96.0,47.0,47.3,131.2,74.1,76.5,1961,Aug,78.68333333333334
137.4,205.3,86.4,92.2,115.7,94.2,1961,Sep,121.86666666666669
194.8,173.6,58.8,101.8,73.5,84.8,1961,Oct,114.55
111.7,92.8,52.8,90.7,58.9,67.4,1961,Nov,79.05
103.6,107.7,57.1,98.0,66.1,83.7,1961,Dec,86.03333333333335
153.9,165.8,41.1,143.6,98.1,147.6,1962,Jan,125.0166666666667
48.1,36.6,26.7,66.2,63.7,37.7,1962,Feb,46.5
98.7,126.9,53.6,78.6,58.9,68.7,1962,Mar,80.9
68.9,75.1,40.8,65.6,58.7,57.5,1962,Apr,61.1
50.3,95.0,56.8,44.5,84.2,49.1,1962,May,63.31666666666667
56.2,69.3,24.9,59.1,40.6,46.1,1962,Jun,49.36666666666667
42.7,68.6,68.0,43.9,55.9,53.9,1962,July,55.5
105.6,125.1,73.1,135.8,106.2,131.9,1962,Aug,112.94999999999999
130.3,143.5,129.2,123.0,177.3,107.6,1962,Sep,135.15
59.3,71.4,16.8,38.9,38.8,47.5,1962,Oct,45.449999999999996
145.3,123.3,47.9,97.3,73.5,83.0,1962,Nov,95.05
98.2,131.7,75.3,95.4,112.3,90.6,1962,Dec,100.58333333333333
21.0,26.1,41.1,35.2,27.5,11.2,1963,Jan,27.016666666666666
30.8,122.4,61.9,34.4,33.2,34.7,1963,Feb,52.900000000000006
141.3,260.0,65.2,89.2,106.1,82.2,1963,Mar,124.00000000000001
72.5,99.2,47.0,59.8,64.0,59.4,1963,Apr,66.98333333333333
106.9,83.1,42.0,101.1,64.8,54.3,1963,May,75.36666666666667
51.2,54.5,54.3,54.2,56.4,46.0,1963,Jun,52.76666666666666
98.2,118.3,23.5,71.8,73.5,57.8,1963,July,73.85000000000001
98.6,116.7,103.1,58.8,90.5,91.5,1963,Aug,93.2
88.4,66.5,44.9,92.5,67.7,61.1,1963,Sep,70.18333333333334
116.4,160.6,47.6,148.9,111.0,116.1,1963,Oct,116.76666666666667
