team,points,gd,goalsFor,goalsAgainst
Man United,89,43,86,43
Man City,78,32,66,34
Chelsea,75,36,75,39
Arsenal,73,35,72,37
Tottenham,72,20,66,46
Everton,63,15,55,40
Liverpool,61,28,71,43
West Brom,49,-4,53,57
Swansea,46,-4,47,51
West Ham,46,-8,45,53
Norwich,44,-17,41,58
Fulham,43,-10,50,60
Stoke,42,-11,34,45
Newcastle,41,-23,45,68
Aston Villa,41,-22,47,69
Southampton,41,-11,49,60
Sunderland,39,-13,41,54
Wigan,36,-26,47,73
Reading,28,-30,43,73
QPR,25,-30,30,60
