team,points,gd,goalsFor,goalsAgainst
Wolves,99,43,82,39
Cardiff,90,30,69,39
Fulham,88,33,79,46
Aston Villa,83,30,72,42
Middlesbrough,76,22,67,45
Derby,75,22,70,48
Preston,73,11,57,46
Millwall,72,11,56,45
Brentford,69,10,62,52
Sheffield United,69,7,62,55
Bristol City,67,9,67,58
Ipswich,60,-3,57,60
Leeds,60,-5,59,64
Norwich,60,-11,49,60
Sheffield Wednesday,57,-1,59,60
QPR,56,-12,58,70
Notts Forest,53,-14,51,65
Hull,49,0,70,70
Birmingham,46,-30,38,68
Reading,44,-22,48,70
Bolton,43,-35,39,74
Burton,41,-43,38,81
Barnsley,41,-24,48,72
Sunderland,37,-28,52,80
