team,points,gd,goalsFor,goalsAgainst
Chelsea,93,52,85,33
Tottenham,86,60,86,26
Man City,78,41,80,39
Liverpool,76,36,78,42
Arsenal,75,33,77,44
Man United,69,25,54,29
Everton,61,18,62,44
Bournemouth,46,-12,55,67
Southampton,46,-7,41,48
West Brom,45,-8,43,51
West Ham,45,-17,47,64
Stoke,44,-15,41,56
Leicester,44,-15,48,63
Swansea,41,-25,45,70
Crystal Palace,41,-13,50,63
Burnley,40,-16,39,55
Watford,40,-28,40,68
Hull,34,-43,37,80
Middlesbrough,28,-26,27,53
Sunderland,24,-40,29,69
