Belmullet,Valentia,DublinAirport,MalinHead,Mullingar,ShannonAirport,Year,Category,Month
90.8,91.5,119.5,88.9,102.6,133.3,1966,total,06
73.7,47.4,37.1,72.0,54.4,39.7,1966,total,07
70.7,83.4,56.5,55.1,58.4,96.1,1966,total,08
102.8,70.2,61.3,86.3,79.7,59.2,1966,total,09
76.7,185.9,132.9,77.9,125.4,78.1,1966,total,10
129.3,69.4,43.3,94.8,48.8,50.2,1966,total,11
199.2,101.0,115.1,173.4,134.4,100.0,1966,total,12
95.3,125.8,48.5,79.3,61.0,57.4,1967,total,01
107.0,146.9,83.8,82.2,94.4,119.1,1967,total,02
85.2,67.7,26.4,104.2,49.2,60.7,1967,total,03
53.2,38.0,33.9,43.6,39.0,29.6,1967,total,04
86.4,136.0,129.4,66.7,147.1,86.0,1967,total,05
49.1,28.6,11.4,50.7,28.6,35.4,1967,total,06
80.1,85.9,83.7,69.0,113.2,44.6,1967,total,07
114.3,145.2,64.3,110.9,84.7,68.9,1967,total,08
107.7,135.6,115.5,143.0,112.9,94.4,1967,total,09
188.7,196.5,94.4,223.6,157.1,167.9,1967,total,10
93.9,137.9,45.7,143.2,67.7,71.5,1967,total,11
82.8,99.9,45.5,124.8,68.4,42.6,1967,total,12
127.3,137.3,96.1,160.5,135.6,113.6,1968,total,01
62.4,78.3,15.9,62.4,17.4,24.5,1968,total,02
106.0,80.1,41.5,104.9,71.6,73.7,1968,total,03
51.0,131.1,58.6,57.7,69.5,39.2,1968,total,04
54.5,65.9,51.8,73.1,57.0,43.0,1968,total,05
61.2,78.8,51.4,59.9,73.4,49.6,1968,total,06
38.7,32.1,15.9,25.0,22.2,32.7,1968,total,07
68.3,106.1,106.6,47.2,88.5,76.2,1968,total,08
109.3,180.0,103.5,97.3,119.0,141.7,1968,total,09
151.5,137.5,59.8,149.3,91.5,93.2,1968,total,10
109.8,226.7,78.8,65.4,112.1,90.0,1968,total,11
107.0,207.3,109.1,72.2,117.2,163.9,1968,total,12
129.0,230.3,105.4,139.3,133.3,141.8,1969,total,01
85.4,51.0,41.8,106.3,48.1,43.9,1969,total,02
42.4,30.9,46.9,45.1,33.8,44.4,1969,total,03
51.5,66.4,62.3,50.2,75.0,61.5,1969,total,04
40.6,61.8,111.2,52.0,90.4,61.5,1969,total,05
77.7,87.1,46.4,62.3,58.0,75.4,1969,total,06
33.9,78.9,43.8,47.7,45.8,31.1,1969,total,07
61.2,98.1,34.1,66.3,32.6,30.6,1969,total,08
58.3,58.4,44.9,76.9,29.2,49.6,1969,total,09
116.0,74.2,11.1,91.1,34.6,52.5,1969,total,10
166.3,148.2,90.0,195.5,75.4,115.4,1969,total,11
130.1,146.3,63.5,118.8,91.5,116.5,1969,total,12
80.8,194.6,62.5,59.8,83.0,47.0,1970,total,01
157.7,155.0,60.4,143.7,105.1,136.6,1970,total,02
76.9,58.0,32.5,76.1,47.0,45.9,1970,total,03
75.6,133.5,85.3,81.2,87.3,93.2,1970,total,04
31.5,54.8,13.2,50.5,30.8,35.4,1970,total,05
74.2,107.6,31.6,54.2,67.7,46.2,1970,total,06
71.1,87.7,68.2,105.7,71.6,98.8,1970,total,07
58.6,51.7,68.3,83.3,72.9,52.6,1970,total,08
196.7,163.6,53.8,106.4,101.4,94.2,1970,total,09
142.8,77.0,59.2,163.6,106.6,75.3,1970,total,10
140.8,207.9,128.0,147.2,134.2,170.2,1970,total,11
77.4,96.2,50.6,58.5,45.6,46.4,1970,total,12
117.7,181.3,39.4,81.6,61.4,67.7,1971,total,01
81.9,64.2,39.7,94.9,50.8,65.0,1971,total,02
47.1,61.0,78.8,65.1,42.4,63.6,1971,total,03
28.7,54.1,52.4,76.2,41.7,29.7,1971,total,04
43.1,61.5,34.0,95.0,43.1,24.3,1971,total,05
92.4,76.4,71.8,88.6,82.4,68.2,1971,total,06
41.7,44.5,62.8,46.1,24.3,39.1,1971,total,07
116.7,82.2,66.9,131.1,79.2,70.4,1971,total,08
62.8,44.1,27.0,24.1,43.3,57.3,1971,total,09
95.3,152.1,34.4,90.7,46.8,97.0,1971,total,10
149.1,112.2,48.0,143.5,83.3,88.2,1971,total,11
47.3,57.8,36.4,53.0,48.4,38.6,1971,total,12
66.9,202.1,110.6,113.7,102.9,103.8,1972,total,01
75.0,164.0,59.7,38.7,64.6,59.4,1972,total,02
86.7,106.8,50.1,97.2,67.7,85.5,1972,total,03
98.5,91.3,49.2,104.3,93.8,72.5,1972,total,04
96.6,137.4,66.7,86.3,112.0,84.6,1972,total,05
58.6,85.6,58.6,88.6,66.4,65.8,1972,total,06
50.8,84.9,41.1,44.8,66.1,57.4,1972,total,07
52.4,80.6,24.0,85.7,36.8,57.7,1972,total,08
38.1,29.7,7.5,25.2,8.6,13.2,1972,total,09
65.8,124.0,40.8,47.1,53.2,43.8,1972,total,10
109.7,175.5,78.2,140.1,109.5,145.3,1972,total,11
159.2,218.7,82.6,91.8,88.4,105.8,1972,total,12
123.0,151.2,52.2,99.8,66.6,70.7,1973,total,01
100.5,133.8,32.5,82.6,43.7,92.8,1973,total,02
57.9,63.9,11.1,41.0,29.0,30.5,1973,total,03
46.5,39.3,48.1,64.2,48.8,40.8,1973,total,04
85.7,93.6,70.9,75.2,80.9,104.3,1973,total,05
54.2,47.7,20.2,42.3,23.0,17.3,1973,total,06
58.7,77.2,72.8,88.5,86.4,65.6,1973,total,07
119.6,115.3,108.9,101.0,98.5,110.5,1973,total,08
97.2,147.8,76.2,121.6,103.2,116.2,1973,total,09
68.4,60.6,59.2,66.0,51.3,50.8,1973,total,10
147.8,162.8,60.8,123.2,98.6,143.8,1973,total,11
130.2,143.1,72.7,135.4,67.9,98.5,1973,total,12
205.4,318.6,81.4,130.9,135.1,168.2,1974,total,01
112.9,177.7,50.9,77.3,61.9,102.4,1974,total,02
58.3,76.3,31.7,50.1,29.5,40.7,1974,total,03
19.5,59.8,43.4,9.9,39.7,21.4,1974,total,04
56.8,152.4,87.6,56.0,72.0,52.0,1974,total,05
70.1,38.3,39.5,42.8,39.8,37.1,1974,total,06
84.0,97.6,99.7,87.9,114.0,82.1,1974,total,07
112.2,168.7,30.2,82.2,80.5,139.0,1974,total,08
172.6,225.7,116.0,123.3,129.6,170.1,1974,total,09
82.4,75.7,26.6,63.0,53.9,53.7,1974,total,10
