Belmullet,Valentia,DublinAirport,MalinHead,Mullingar,ShannonAirport,Year,Category,Month
156.8,210.6,92.0,158.3,118.9,160.9,1995,total,02
124.4,114.5,44.7,144.2,63.6,104.1,1995,total,03
48.5,51.1,27.3,42.8,28.6,26.8,1995,total,04
53.6,112.7,49.2,74.1,44.9,67.4,1995,total,05
29.1,58.0,11.6,32.5,21.2,23.2,1995,total,06
93.3,149.3,70.2,57.9,76.8,128.6,1995,total,07
17.7,24.7,7.2,13.3,6.9,4.2,1995,total,08
78.0,58.0,43.6,111.4,68.4,44.7,1995,total,09
249.0,229.0,38.0,187.9,154.2,107.2,1995,total,10
102.7,220.8,147.2,86.9,110.1,101.7,1995,total,11
58.9,85.6,71.2,80.9,53.6,73.0,1995,total,12
100.6,214.2,85.9,42.1,79.2,69.2,1996,total,01
122.6,135.8,62.0,74.4,83.9,117.4,1996,total,02
56.8,126.8,69.9,18.9,70.1,91.6,1996,total,03
81.3,117.9,60.8,78.0,90.3,58.0,1996,total,04
69.2,81.7,66.7,75.6,61.5,46.9,1996,total,05
52.5,92.0,20.7,53.6,25.7,22.2,1996,total,06
69.1,90.8,37.2,66.2,47.8,59.2,1996,total,07
101.5,133.2,102.1,131.5,100.1,84.5,1996,total,08
52.5,62.1,19.2,48.0,33.4,34.4,1996,total,09
178.8,278.7,101.7,153.4,149.7,144.9,1996,total,10
164.3,154.3,103.6,127.4,82.5,121.7,1996,total,11
83.5,80.2,54.1,55.8,44.8,28.7,1996,total,12
44.2,68.8,15.5,22.2,27.7,37.0,1997,total,01
186.6,170.8,60.1,145.5,143.3,111.7,1997,total,02
65.1,37.6,15.1,85.0,34.0,19.1,1997,total,03
31.7,37.6,48.3,49.6,51.1,43.4,1997,total,04
91.2,80.1,61.3,89.1,106.1,60.1,1997,total,05
97.8,103.5,125.2,53.0,96.7,121.7,1997,total,06
107.9,82.9,53.5,78.5,67.7,70.6,1997,total,07
94.9,193.8,80.9,74.9,99.8,229.5,1997,total,08
106.5,78.2,19.1,84.9,49.9,44.8,1997,total,09
119.4,111.7,67.6,71.9,100.6,108.5,1997,total,10
128.3,268.2,86.8,75.2,72.6,72.6,1997,total,11
196.2,173.0,90.4,170.3,90.2,108.4,1997,total,12
164.5,199.9,79.5,119.8,104.4,130.0,1998,total,01
112.5,51.7,14.1,98.8,32.2,35.3,1998,total,02
84.2,133.9,65.7,76.9,84.4,96.4,1998,total,03
82.0,172.7,115.0,52.0,109.9,100.8,1998,total,04
37.2,34.6,29.0,45.3,29.6,34.7,1998,total,05
110.6,179.8,111.0,92.7,139.5,123.5,1998,total,06
99.3,116.1,54.0,137.2,93.6,64.5,1998,total,07
127.0,118.7,45.0,161.3,65.9,78.6,1998,total,08
45.9,139.5,95.7,53.7,101.7,93.0,1998,total,09
161.1,208.3,75.3,173.0,135.8,147.1,1998,total,10
161.1,193.1,76.1,142.9,92.5,124.0,1998,total,11
147.8,220.9,70.3,133.9,88.7,118.8,1998,total,12
157.9,194.9,71.8,145.7,119.0,122.6,1999,total,01
92.8,86.4,36.5,120.7,59.8,78.0,1999,total,02
87.0,146.1,31.8,58.1,58.8,53.1,1999,total,03
101.1,151.2,74.9,76.4,85.7,66.9,1999,total,04
49.8,53.0,39.1,55.0,55.8,84.4,1999,total,05
74.1,52.8,56.5,97.9,65.0,56.3,1999,total,06
62.1,84.1,35.2,74.6,43.4,49.7,1999,total,07
126.4,168.5,106.6,63.4,97.7,60.6,1999,total,08
126.5,288.5,104.7,170.3,156.6,150.1,1999,total,09
76.7,109.3,29.5,88.2,42.8,57.9,1999,total,10
164.3,130.4,43.2,147.1,101.3,94.2,1999,total,11
256.7,303.3,82.3,241.9,157.1,219.5,1999,total,12
111.8,112.9,40.5,104.2,59.3,83.6,2000,total,01
147.4,189.7,45.3,128.2,95.3,118.3,2000,total,02
44.3,41.1,20.7,65.5,34.7,42.0,2000,total,03
82.5,76.4,89.3,77.5,62.8,57.5,2000,total,04
45.4,133.2,50.6,38.5,47.8,66.0,2000,total,05
53.8,97.5,34.7,43.6,55.0,64.3,2000,total,06
30.6,82.4,43.6,50.7,49.4,96.9,2000,total,07
137.4,91.9,62.7,100.2,67.1,79.4,2000,total,08
133.7,156.8,99.3,170.8,111.3,97.2,2000,total,09
257.7,302.4,86.7,174.3,153.7,182.6,2000,total,10
148.6,269.1,141.2,101.7,149.6,130.9,2000,total,11
148.7,232.8,125.6,120.7,122.1,81.6,2000,total,12
65.2,128.8,32.2,61.8,38.4,47.6,2001,total,01
56.2,120.2,48.8,89.2,48.3,54.3,2001,total,02
72.9,131.5,56.1,26.4,70.9,75.7,2001,total,03
78.1,117.6,77.5,54.2,90.0,96.7,2001,total,04
27.1,34.8,49.5,34.7,40.6,34.5,2001,total,05
66.5,71.0,41.4,58.6,80.5,61.6,2001,total,06
113.6,72.1,30.4,72.5,43.4,75.0,2001,total,07
122.7,122.3,97.1,89.5,108.2,62.5,2001,total,08
69.4,61.9,41.4,56.0,51.4,50.0,2001,total,09
121.9,195.5,90.3,93.5,96.2,116.2,2001,total,10
108.1,97.4,40.7,123.2,59.9,65.3,2001,total,11
86.4,82.2,21.6,97.1,35.8,50.4,2001,total,12
126.3,262.5,48.9,91.5,132.1,129.9,2002,total,01
163.6,185.5,125.1,164.2,177.9,177.2,2002,total,02
75.9,67.4,30.4,75.3,58.8,41.2,2002,total,03
66.9,111.0,81.5,72.5,77.7,74.9,2002,total,04
125.7,186.1,120.8,81.8,116.8,95.9,2002,total,05
150.9,135.7,82.1,111.3,91.1,78.4,2002,total,06
74.7,98.2,68.0,72.4,79.8,45.0,2002,total,07
75.5,80.9,50.2,53.7,46.0,57.6,2002,total,08
34.1,124.8,22.8,61.6,18.9,16.3,2002,total,09
171.8,237.1,180.6,143.4,157.7,129.7,2002,total,10
168.2,286.7,186.3,90.0,151.4,135.3,2002,total,11
84.0,147.0,105.0,45.7,109.6,89.3,2002,total,12
83.0,132.1,53.9,90.2,52.4,43.6,2003,total,01
56.8,162.7,21.1,45.9,37.7,52.6,2003,total,02
96.6,82.4,30.3,41.2,44.7,54.5,2003,total,03
34.8,138.3,34.0,32.9,63.5,43.2,2003,total,04
130.0,142.2,96.5,104.4,128.5,91.5,2003,total,05
63.3,146.9,88.4,69.8,79.5,105.6,2003,total,06
118.7,125.9,46.0,94.7,61.3,76.5,2003,total,07
25.0,25.3,14.4,23.0,13.2,11.1,2003,total,08
95.2,64.4,37.3,73.2,48.7,37.3,2003,total,09
72.1,58.5,106.3,66.3,44.1,50.6,2003,total,10
167.1,293.0,54.8,99.8,79.6,111.4,2003,total,11
129.4,135.5,60.2,102.3,79.6,94.2,2003,total,12
148.5,174.4,82.6,158.3,108.0,107.5,2004,total,01
63.0,79.0,19.7,44.1,31.8,28.1,2004,total,02
97.9,164.4,44.4,53.8,62.9,69.0,2004,total,03
87.4,85.6,31.2,74.8,58.6,43.9,2004,total,04
37.4,40.9,49.8,35.3,51.6,35.8,2004,total,05
87.1,104.3,50.1,108.3,68.5,68.3,2004,total,06
77.1,91.9,37.9,98.6,50.8,66.6,2004,total,07
55.4,101.8,133.8,80.2,121.9,88.1,2004,total,08
126.2,161.7,98.3,136.7,86.8,98.3,2004,total,09
142.0,212.7,120.0,112.0,156.3,139.1,2004,total,10
66.7,67.8,39.8,94.6,69.1,66.6,2004,total,11
144.1,115.0,44.8,142.2,88.7,90.9,2004,total,12
203.5,184.9,63.6,139.1,125.0,123.4,2005,total,01
61.9,90.1,40.6,75.2,38.8,50.1,2005,total,02
39.6,81.9,35.2,65.2,69.2,57.0,2005,total,03
96.1,152.8,57.0,78.8,74.5,91.3,2005,total,04
106.4,154.5,69.5,94.6,90.3,92.5,2005,total,05
68.1,87.7,28.3,65.9,33.3,55.3,2005,total,06
32.3,71.7,83.9,24.3,67.3,43.9,2005,total,07
88.0,83.7,25.3,128.0,58.1,71.4,2005,total,08
144.4,148.3,55.8,94.0,59.5,81.0,2005,total,09
138.0,152.3,101.5,109.5,108.6,103.9,2005,total,10
115.7,139.4,50.7,107.7,77.1,80.5,2005,total,11
125.5,152.4,68.9,103.8,62.7,64.4,2005,total,12
110.8,144.7,16.3,67.6,38.5,53.8,2006,total,01
86.5,86.7,38.3,40.6,45.3,38.3,2006,total,02
101.3,149.1,68.7,107.2,118.7,104.9,2006,total,03
75.2,79.4,40.8,69.9,51.0,31.3,2006,total,04
123.2,201.0,125.8,73.4,133.3,125.8,2006,total,05
36.1,47.6,19.2,63.3,20.8,19.2,2006,total,06
71.0,102.1,18.2,74.1,48.5,28.5,2006,total,07
32.9,52.5,57.6,73.1,61.0,42.4,2006,total,08
194.7,263.7,89.5,112.7,133.1,148.4,2006,total,09
135.8,171.3,102.7,123.9,106.2,93.5,2006,total,10
184.9,232.7,69.1,170.2,88.4,115.2,2006,total,11
247.1,224.0,94.4,184.7,160.6,170.3,2006,total,12
148.4,106.7,72.8,161.5,116.7,90.2,2007,total,01
76.6,201.4,77.8,69.3,70.3,71.9,2007,total,02
100.1,111.0,62.1,59.7,65.3,62.1,2007,total,03
54.7,50.9,14.7,32.6,22.3,11.7,2007,total,04
73.7,76.7,35.0,101.8,63.8,65.8,2007,total,05
71.9,153.6,134.4,83.3,108.2,107.0,2007,total,06
102.0,76.3,119.1,105.4,150.1,93.5,2007,total,07
88.9,106.0,95.5,86.2,108.2,100.8,2007,total,08
59.9,74.4,39.2,79.5,44.9,51.4,2007,total,09
106.7,105.7,15.7,77.0,46.6,44.3,2007,total,10
111.2,98.1,54.0,102.1,60.5,56.9,2007,total,11
145.7,189.5,64.1,109.4,119.5,163.4,2007,total,12
171.5,276.2,96.9,188.9,146.3,223.9,2008,total,01
116.4,108.3,14.7,89.6,54.7,58.0,2008,total,02
157.4,164.1,102.4,142.7,96.8,102.9,2008,total,03
67.7,51.0,27.0,54.2,57.0,49.2,2008,total,04
40.2,103.2,32.7,7.4,23.5,35.9,2008,total,05
127.6,147.8,76.4,74.8,88.8,110.8,2008,total,06
44.3,92.8,111.5,125.8,109.3,100.8,2008,total,07
192.1,181.7,192.4,123.2,159.4,176.6,2008,total,08
112.4,87.7,111.8,89.9,100.0,86.4,2008,total,09
177.5,244.8,97.4,144.8,123.9,156.4,2008,total,10
136.2,111.5,39.6,115.6,75.6,92.2,2008,total,11
94.8,104.0,39.5,85.7,61.3,75.1,2008,total,12
142.6,290.6,62.0,98.8,104.6,120.5,2009,total,01
46.0,55.0,56.8,42.0,25.8,15.7,2009,total,02
90.5,82.4,25.5,86.0,40.5,63.9,2009,total,03
114.8,170.1,71.6,97.1,108.1,90.9,2009,total,04
81.3,100.1,75.0,92.8,69.8,98.8,2009,total,05
49.0,98.0,76.2,49.3,90.6,58.5,2009,total,06
113.3,252.1,153.9,70.6,192.4,116.1,2009,total,07
180.8,274.0,69.1,165.9,135.1,119.3,2009,total,08
45.6,90.0,24.2,71.0,38.1,56.9,2009,total,09
114.5,230.9,84.9,118.5,111.7,106.9,2009,total,10
208.5,345.4,149.4,217.7,191.6,245.6,2009,total,11
127.9,186.4,71.6,57.0,74.2,70.4,2009,total,12
106.5,161.9,42.7,70.1,45.0,30.8,2010,total,01
81.1,68.4,36.7,87.0,41.9,35.1,2010,total,02
58.4,125.4,54.8,81.6,82.2,81.9,2010,total,03
56.3,98.9,26.7,52.7,53.6,72.8,2010,total,04
38.1,54.2,48.8,51.5,44.6,54.3,2010,total,05
40.9,92.9,43.3,43.3,56.2,36.2,2010,total,06
134.4,154.8,74.7,128.6,139.2,121.3,2010,total,07
71.5,35.1,48.0,66.9,47.4,37.7,2010,total,08
151.9,125.1,105.5,144.1,166.4,139.8,2010,total,09
82.7,135.1,29.6,69.8,57.5,77.4,2010,total,10
197.8,172.3,100.5,115.6,125.2,131.8,2010,total,11
87.3,107.6,57.6,69.0,37.2,26.0,2010,total,12
69.2,107.8,29.4,89.6,47.6,74.6,2011,total,01
149.4,188.9,75.9,104.4,118.5,148.5,2011,total,02
66.2,61.6,19.4,58.7,36.9,34.7,2011,total,03
73.4,66.1,28.4,66.2,34.2,41.8,2011,total,04
133.5,164.6,37.1,100.4,67.8,93.3,2011,total,05
80.5,118.5,64.2,84.5,65.1,112.5,2011,total,06
42.4,80.0,42.6,50.3,61.2,31.7,2011,total,07
74.4,91.7,39.7,78.6,64.1,54.1,2011,total,08
175.1,160.1,87.3,133.0,122.6,91.1,2011,total,09
195.2,193.1,147.4,177.2,132.8,98.3,2011,total,10
130.9,298.6,48.5,105.0,106.0,87.5,2011,total,11
176.8,191.5,52.2,183.4,89.0,145.1,2011,total,12
120.1,153.8,62.7,134.1,96.1,110.9,2012,total,01
69.4,67.6,20.5,68.1,42.4,38.6,2012,total,02
41.4,42.3,25.6,29.8,15.4,28.3,2012,total,03
79.7,119.1,93.1,46.3,75.4,79.6,2012,total,04
52.5,53.5,57.5,50.7,56.4,38.0,2012,total,05
109.5,128.3,147.9,141.7,173.9,166.3,2012,total,06
96.3,169.1,85.6,91.5,120.1,112.8,2012,total,07
103.2,163.9,77.6,86.6,127.1,89.1,2012,total,08
93.0,76.1,83.9,139.7,62.3,61.9,2012,total,09
86.9,140.6,70.5,123.2,90.6,86.3,2012,total,10
146.6,202.5,72.0,87.6,68.5,120.3,2012,total,11
125.2,174.6,52.3,150.1,91.0,115.4,2012,total,12
153.9,276.9,94.4,145.6,117.8,105.7,2013,total,01
57.9,75.9,47.3,68.3,54.8,49.2,2013,total,02
44.5,82.4,85.5,61.6,40.1,30.2,2013,total,03
81.8,128.1,40.1,62.8,78.2,63.5,2013,total,04
111.6,109.3,45.8,103.2,72.1,67.6,2013,total,05
42.9,138.0,60.8,83.8,62.8,64.2,2013,total,06
81.0,108.1,72.0,61.1,73.8,60.0,2013,total,07
67.9,71.0,45.3,88.0,40.5,70.3,2013,total,08
71.3,78.8,39.5,69.6,61.7,43.6,2013,total,09
97.3,176.7,123.4,104.2,172.4,127.5,2013,total,10
63.9,125.1,26.8,117.5,46.2,89.2,2013,total,11
180.9,271.5,84.0,176.7,142.6,161.7,2013,total,12
214.6,288.1,100.6,162.7,149.5,179.0,2014,total,01
197.0,288.2,88.5,190.2,151.8,190.4,2014,total,02
82.3,134.5,53.7,75.4,70.1,87.2,2014,total,03
54.8,87.4,37.2,31.8,62.3,40.6,2014,total,04
103.6,114.1,88.5,85.5,121.7,88.0,2014,total,05
44.6,55.5,36.2,46.9,63.4,40.5,2014,total,06
60.9,83.1,36.6,88.3,35.2,39.3,2014,total,07
90.6,72.0,171.4,93.2,150.3,86.5,2014,total,08
25.7,27.3,26.5,23.7,16.4,73.8,2014,total,09
175.6,194.5,90.3,130.9,120.9,103.8,2014,total,10
86.3,199.9,140.8,134.6,154.3,129.4,2014,total,11
144.3,143.7,56.2,151.8,104.8,114.5,2014,total,12
171.7,191.2,47.4,175.3,88.8,126.2,2015,total,01
72.2,112.5,34.6,87.8,53.9,96.3,2015,total,02
106.2,130.8,57.5,123.7,92.6,101.8,2015,total,03
62.7,54.4,43.9,61.1,64.2,63.4,2015,total,04
110.1,128.6,90.5,138.1,135.7,111.5,2015,total,05
52.1,79.6,14.1,55.0,36.7,26.9,2015,total,06
132.6,120.3,69.2,132.7,76.5,82.8,2015,total,07
95.0,126.2,100.1,111.4,97.1,93.3,2015,total,08
118.2,148.7,56.7,29.4,39.5,87.9,2015,total,09
76.2,96.1,49.0,71.7,57.3,49.8,2015,total,10
202.4,199.9,123.0,233.3,187.5,190.6,2015,total,11
246.6,340.7,192.1,262.5,271.2,233.1,2015,total,12
188.2,293.0,118.8,166.4,123.0,107.6,2016,total,01
172.2,196.9,63.0,137.2,122.0,155.5,2016,total,02
107.0,118.5,33.2,66.7,51.6,53.9,2016,total,03
51.2,86.3,88.8,54.9,91.0,46.0,2016,total,04
46.1,74.5,45.6,63.0,57.1,41.0,2016,total,05
103.7,109.8,58.6,78.6,131.5,70.7,2016,total,06
95.6,91.1,43.6,104.3,68.9,68.5,2016,total,07
58.5,95.7,61.9,89.3,98.6,103.1,2016,total,08
145.6,183.4,62.4,95.0,90.6,88.7,2016,total,09
45.7,185.5,54.2,37.3,33.8,35.1,2016,total,10
89.3,76.7,36.9,114.1,50.7,69.2,2016,total,11
85.3,104.5,46.9,76.4,69.6,74.4,2016,total,12
58.4,167.4,21.6,56.3,41.4,52.9,2017,total,01
110.7,138.6,41.6,88.1,75.2,71.0,2017,total,02
109.6,135.1,67.2,93.8,83.6,134.1,2017,total,03
24.3,50.9,10.1,41.0,14.1,17.3,2017,total,04
53.1,87.9,43.4,58.9,71.5,46.2,2017,total,05
94.6,132.3,86.4,69.7,97.3,85.5,2017,total,06
99.1,107.2,42.2,116.2,90.7,134.4,2017,total,07
133.4,102.8,73.3,171.2,76.8,82.0,2017,total,08
143.8,207.2,83.6,93.0,116.7,100.3,2017,total,09
127.6,159.4,46.4,110.3,100.7,79.4,2017,total,10
143.8,107.6,81.5,132.1,78.2,125.1,2017,total,11
144.0,201.2,63.1,117.7,106.4,142.4,2017,total,12
228.2,237.6,93.1,204.0,148.2,194.7,2018,total,01
122.8,112.8,44.2,73.3,53.0,71.7,2018,total,02
87.4,130.6,87.8,67.0,72.6,53.6,2018,total,03
85.8,207.6,68.1,63.6,59.2,78.1,2018,total,04
63.0,104.6,19.1,41.3,33.6,52.7,2018,total,05
40.9,39.2,4.8,51.1,27.1,13.6,2018,total,06
64.8,58.5,40.0,60.4,33.5,60.9,2018,total,07
134.6,101.0,48.1,126.6,60.3,57.1,2018,total,08
93.5,118.8,43.7,107.8,45.7,80.5,2018,total,09
135.9,116.2,42.6,108.4,41.7,48.0,2018,total,10
148.8,253.5,133.6,98.2,107.2,90.4,2018,total,11
150.8,277.0,78.6,98.4,99.2,156.6,2018,total,12
92.1,134.3,26.8,80.8,41.3,71.5,2019,total,01
120.2,150.7,30.4,59.7,48.9,58.4,2019,total,02
151.9,174.4,92.5,138.8,157.1,177.1,2019,total,03
84.2,97.2,47.9,50.0,58.6,47.8,2019,total,04
57.4,48.6,33.2,79.8,43.3,30.8,2019,total,05
86.7,58.0,83.2,68.1,79.8,55.5,2019,total,06
100.7,83.7,40.7,85.1,77.8,48.8,2019,total,07
160.8,204.2,89.6,163.7,151.9,149.6,2019,total,08
105.5,178.7,106.4,123.7,131.7,103.8,2019,total,09
116.9,201.6,45.6,87.5,95.5,98.3,2019,total,10
139.3,170.5,171.4,86.8,122.2,104.7,2019,total,11
149.4,199.6,157.1,123.7,82.8,117.1,2019,total,12
