team,points,gd,goalsFor,goalsAgainst
Arsenal,87,43,79,36
Aston Villa,50,-1,46,47
Blackburn,46,4,55,51
Bolton,40,-18,44,62
Charlton,44,-11,38,49
Chelsea,64,28,66,38
Derby,30,-30,33,63
Everton,43,-12,45,57
Fulham,44,-8,36,44
Ipswich,36,-23,41,64
Leeds,66,16,53,37
Leicester,28,-34,30,64
Liverpool,80,37,67,30
Man United,77,42,87,45
Middlesbrough,45,-12,35,47
Newcastle,71,22,74,52
Southampton,45,-8,46,54
Sunderland,40,-22,29,51
Tottenham,50,-4,49,53
West Ham,53,-9,48,57
